rendeles_id;tetel_rend_id;alap_id;meret_id;darabszam
R12345;1;A01;M;2.0
R12345;2;A01;L;0.5
R12345;3;A02;L;0.5
R12346;1;A05;S;3.0
R12347;1;A03;M;3.5
R12347;2;A03;M;1.5
R12347;3;A02;L;2.0
R12348;1;A02;S;2.0
R12349;1;A02;M;1.0
R12349;2;A03;S;2.0
R12349;3;A04;L;2.0
R12349;4;A05;M;1.0
R12350;1;A02;L;2.0
R12351;1;A02;M;2.0
R12351;2;A03;M;2.0
R12351;3;A04;M;1.0
R12352;1;A01;L;1.5
R12352;2;A01;L;0.5
R12353;1;A04;M;1.5
R12353;2;A04;M;2.5
R12353;3;A02;S;1.0
R12353;4;A03;S;2.0
R12353;5;A04;S;1.0
R12353;6;A05;L;3.0
R12354;1;A05;L;3.0
R12355;1;A01;M;2.0
R12355;2;A02;M;2.0
R12356;1;A01;M;3.0
R12356;2;A02;S;1.0
R12356;3;A03;L;1.0
R12357;1;A01;L;2.0
R12358;1;A02;M;1.0
R12358;2;A03;M;1.0
R12359;1;A01;L;0.5
R12359;2;A01;L;0.5
R12360;1;A02;M;2.0
R12360;2;A03;M;1.0
R12361;1;A04;L;2.0
R12362;1;A05;M;1.0
R12362;2;A01;L;1.0
R12363;1;A02;M;1.0
R12363;2;A03;L;1.0
R12364;1;A05;L;2.0
R12365;1;A05;M;2.0
R12366;1;A01;L;1.5
R12366;2;A01;L;0.5
R12367;1;A02;M;1.0
R12368;1;A02;S;1.0
R12368;2;A02;S;1.0
R12369;1;A03;L;1.0
R12370;1;A04;M;1.0
R12370;2;A04;L;2.0
R12371;1;A01;L;2.0
R12372;1;A02;L;6.0
R12372;2;A03;L;4.0
R12373;1;A03;L;1.0
R12373;2;A04;M;2.0
R12374;1;A01;M;1.0
R12374;2;A01;M;1.0
R12374;3;A02;M;1.0
