kiallitas_id;helyszin_id
VK0001;H0001
VK0002;H0002
VK0003;H0003
VK0004;H0004
VK0005;H0001
VK0006;H0004
VK0007;H0005
VK0008;H0003
VK0009;H0007
VK0010;H0004
VK0011;H0008
VK0012;H0009
VK0013;H0010
VK0014;H0011
VK0015;H0001
VK0016;H0009
VK0017;H0012
VK0018;H0013
VK0019;H0004
VK0020;H0014
VK0021;H0015
VK0022;H0016
VK0023;H0008
VK0024;H0017
VK0025;H0004
VK0026;H0018
VK0027;H0019
VK0028;H0020
VK0029;H0021
VK0030;H0003
VK0031;H0022
VK0032;H0023
VK0033;H0017
VK0034;H0024
VK0035;H0025
VK0036;H0015
VK0037;H0026
VK0038;H0027
VK0039;H0028
VK0040;H0004
VK0041;H0007
VK0042;H0013
VK0042;H0029
VK0043;H0011
VK0044;H0030
VK0045;H0004
VK0046;H0014
VK0047;H0017
VK0048;H0031
VK0049;H0004
VK0050;H0032
VK0051;H0020
VK0052;H0002
VK0053;H0015
VK0054;H0034
VK0055;H0004
VK0056;H0031
VK0057;H0035
VK0058;H0036
VK0059;H0037
VK0060;H0038
VK0061;H0034
VK0062;H0039
VK0063;H0024
VK0064;H0040
VK0065;H0041
VK0066;H0008
VK0067;H0017
VK0068;H0024
VK0069;H0023
VK0070;H0002
VK0071;H0042
VK0072;H0043
VK0073;H0044
VK0074;H0045
VK0075;H0046
VK0076;H0047
VK0077;H0048
VK0078;H0049
VK0079;H0010
VK0080;H0048
VK0081;H0050
VK0082;H0051
VK0083;H0052
VK0084;H0048
VK0085;H0029
VK0086;H0053
VK0087;H0054
VK0088;H0005
VK0088;H0055
VK0089;H0056
VK0090;H0057
VK0091;H0058
VK0092;H0059
VK0092;H0060
VK0093;H0061
VK0094;H0062
VK0095;H0063
VK0096;H0021
VK0097;H0064
VKK001;H0045
VKK002;H0065
VKK003;H0066
VE0001;H0055
