Ország;2018;2017;2016;2015;2014;2013;2012;2011;2010
Algeria; ;60606;42008;19346;1244;0; ; ; 
Argentina;466649;472158;472776;533683;617329;791007;764495;828771;716540
Australia; ;98632;161294;173009;180311;215926;209730;224193;243495
Austria;164900;99880;108000;125500;154340;166428;143060;152505;104814
Azerbaijan;1286;247;415;2145;669; ; ; ; 
Belarus; ;13428;16864;15033;22990;22926;25425;24343;15249
Belgium;308493;379140;399427;409340;516832;503504;538848;595084;555302
Brazil;2879809;2699672;2156356;2429463;3364890;3712380;3402508;3407861;3381728
Bulgaria; ; ; ; ;2508;2200;0;0;0
Canada;2020840;2199789;2370271;2283474;2393890;2379806;2463364;2135121;2068189
Chile;0;0;0;0;0;0;0;4700;6660
China;27809196;29015434;28118794;24503326;23722890;22116825;19271808;18418876;18264761
Colombia; ;74994;79036;78070;71137;70686;32466;41714;109333
Czech Republic;1345041;1419993;1349896;1303603;1251220;1132931;1178995;1199845;1076384
Ecuador;2700;2700;4800;5986;24322;24322;24322;22335;32254
Egypt;71600;36640;36230;36000;42515;39050;56480;81731;116683
Finland;112104;91598;55280;69053;45035;7703;2900;2540;6665
France;2270000;2227000;2082000;1972000;1817000;1740000;1967765;2242928;2229421
Germany;5120409;5645581;5746808;6033164;5907548;5718222;5649260;6146948;5905985
Hungary;430988;505400;472000;495370;437599;222400;217840;202800;211461
India;5174645;4782896;4519341;4160585;3840160;3898425;4174713;3927411;3557073
Indonesia;1343714;1216615;1177389;1098780;1298523;1206368;1052895;838388;702508
Iran;1095526;1515396;1164710;982337;1090846;743647;1000089;1649311;1599454
Italy;1060068;1142210;1103516;1014223;697864;658206;671768;790348;838186
Japan;9728528;9693746;9204590;9278321;9774558;9630181;9943077;8398630;9628920
Kazakhstan; ;19071;10651;14477;40162;40684;19186;8195;3176
Kenya;0;0;0;0;3080;3080;2945;0;405
Malaysia;564800;460140;513445;614671;596600;601407;572150;533695;567715
Mexico;4100525;4068415;3600365;3565469;3365306;3054849;3001814;2681050;2342282
Morocco;402085;376286;345106;288329;231986;167452;108743;59477;42066
Netherlands; ;157280;44430;44122;29807;29183;57462;73151;94132
Nigeria;0;0;0;0;0;0;0;0;2937
Pakistan;269700;230250;214650;229686;148746;134145;165700;162194;152970
Peru;0;0;0;0;0;0;0;0;1566
Philippines;79763;141251;116686;112493;106938;52260;55360;53921;65625
Poland;659646;689729;681837;660603;593904;590159;654756;838133;869474
Portugal;294366;175544;143096;156626;161509;154016;163561;192242;158723
Romania;476769;359250;359306;387177;391422;410997;337765;335232;350912
Russia;1767674;1551293;1303989;1384399;1886646;2184266;2233103;1990155;1403244
Serbia;56449;79912;80320;83630;103150;113878;11032;11023;18033
Slovakia;1090000;1001520;1040000;1035503;993000;975000;926555;639763;561933
Slovenia;209378;189852;133702;133092;118591;93734;130949;174119;205711
South Africa;610854;589951;599004;615658;566083;545913;539424;532545;472049
South Korea;4028834;4114913;4228509;4555957;4524932;4521429;4561766;4657094;4271741
Spain;2819565;2848335;2885922;2733201;2402978;2163338;1979179;2373329;2387900
Sweden; ;226000;205374;188987;154173;161080;162814;188969;217084
Taiwan;253241;291563;309531;351085;379223;338720;339038;343296;303456
Thailand;2167694;1988823;1944417;1915420;1880007;2457057;2429142;1457798;1644513
Tunisia;1700;1940;1940;540;540;1860;1860;1860;0
Turkey;1550150;1695731;1485927;1358796;1170445;1125534;1072978;1189131;1094557
Ukraine;6623;9542;5264;8244;28751;50449;76281;104654;83133
United Kingdom;1604328;1749385;1816622;1682156;1598879;1597433;1576945;1463999;1393463
United States;11314705;11189985;12198137;12100095;11660699;11066432;10335765;8661535;7743093
Uruguay;0;0;0;0;0;0;0;0;0
Uzbekistan;220667;140247;88152;185400;245660;246641;164180;179560;156880
Venezuela;1774;2850;18300;19759;71753;104083;102409;104357;135425
Vietnam; ;236161;236161;50000;48871;37576;40470;31181;42286
Zimbabwe;0;0;0;0;829;829;829;257;960
