Algeria;Algéria;AF
Argentina;Argentína;SA
Australia;Ausztrália;AU
Austria;Ausztria;EU
Azerbaijan;Azerbajdzsán;AS
Bangladesh;Banglades;AS
Belarus;Fehéroroszország;EU
Belgium;Belgium;EU
Brazil;Brazília;SA
Bulgaria;Bulgária;EU
Canada;Kanada;NA
Chile;Chile;SA
China;Kína;AS
Colombia;Kolumbia;SA
Czech Republic;Csehország;EU
Ecuador;Ecuador;SA
Egypt;Egyiptom;AF
Finland;Finnország;EU
France;Franciaország;EU
Germany;Németország;EU
Hungary;Magyarország;EU
India;India;AS
Indonesia;Indonézia;AS
Iran;Irán;AS
Ireland;Íroroszág;EU
Italy;Olaszország;EU
Japan;Japán;AS
Kazakhstan;Kazahsztán;AS
Kenya;Kenya;AF
Malaysia;Malajzia;AS
Mexico;Mexikó;NA
Morocco;Marokkó;AF
Netherlands;Hollandia;EU
New Zealand;Új-Zéland;OC
Nigeria;Nigéria;AF
North Korea;Észak-Korea;AS
Pakistan;Pakisztán;AS
Peru;Peru;SA
Philippines;Fülöp-szigetek;AS
Poland;Lengyelország;EU
Portugal;Portugália;EU
Romania;Románia;EU
Russia;Oroszország;EU
Serbia;Szerbia;EU
Slovakia;Szlovákia;EU
Slovenia;Szlovénia;EU
South Africa;Dél-Afrika;AF
South Korea;Dél-Korea;AS
Spain;Spanyolország;EU
Sweden;Svédország;EU
Taiwan;Tajvan;AS
Thailand;Thaiföld;AS
Tunisia;Tunézia;AF
Turkey;Törökország;AS
Ukraine;Ukrajna;EU
United Kingdom;Egyesült Királyság;EU
United States;Egyesült Államok;NA
Uruguay;Uruguay;SA
Uzbekistan;Üzbegisztán;AS
Venezuela;Venezuela;SA
Vietnam;Vietnám;AS
Zimbabwe;Zimbabwe;AF
