marka;szekhely_angol;szekhely_magyar
Abarth;Italy;Olaszország
Acura;Japan;Japán
Alfa Romeo;Italy;Olaszország
AMC;United State;Egyesült Államok
Aston Martin;United Kingdom;Egyesült Királyság
Audi;Germany;Németország
Austin;United Kingdom;Egyesült Királyság
Austin-Healey;United Kingdom;Egyesült Királyság
Bentley;United Kingdom;Egyesült Királyság
BMW;Germany;Németország
Bufori;United Kingdom;Egyesült Királyság
Bugatti;France;Franciaország
Buick;United States;Egyesült Államok
Cadillac;United States;Egyesült Államok
Chana;China;Kína
Changfeng;China;Kína
Chery;China;Kína
Chevrolet;United States;Egyesült Államok
Chrysler;United States;Egyesült Államok
Citroën;France;Franciaország
Dacia;Romania;Románia
Daewoo;South Korea;Dél-Korea
Daihatsu;Japan;Japán
Dodge;United States;Egyesült Államok
Dongfeng;China;Kína
Elfin;Australia;Ausztrália
Ferrari;Italy;Olaszország
Fiat;Italy;Olaszország
Ford;United States;Egyesült Államok
GM;United States;Egyesült Államok
GMC;United States;Egyesült Államok
GreatWall;China;Kína
Hafei;China;Kína
Haima;China;Kína
Holden;Australia;Ausztrália
Honda;Japan;Japán
Hongqi;China;Kína
Hummer;United States;Egyesült Államok
Hyundai;South Korea;Dél-Korea
Infiniti;Japan;Japán
Isuzu;Japan;Japán
Innosson Vehicle Manufacturing;Nigeria;Nigéria
Jaguar;United Kingdom;Egyesült Királyság
Jeep;United States;Egyesült Államok
Kia;South Korea;Dél-Korea
Koenigsegg;Sweden;Svédország
Kantanka cars;Ghana;Ghána
Lada (AvtoVAZ);Russia;Oroszország
Lamborghini;Italy;Olaszország
Lancia;Italy;Olaszország
Land Rover;United Kingdom;Egyesült Királyság
Lexus;Japan;Japán
Leyland;United Kingdom;Egyesült Királyság
Lincoln;United States;Egyesült Államok
Lotus;United Kingdom;Egyesült Királyság
Mahindra;India;India
Maserati;Italy;Olaszország
Maybach;Germany;Németország
Mazda;Japan;Japán
McLaren;United Kingdom;Egyesült Királyság
Mercedes-Benz;Germany;Németország
Mercury;United States;Egyesült Államok
MG;United Kingdom;Egyesült Királyság
MINI;United Kingdom;Egyesült Királyság
Mitsubishi;Japan;Japán
Mitsuoka;Japan;Japán
Morgan;United Kingdom;Egyesült Királyság
Nissan;Japan;Japán
Oldsmobile;United States;Egyesült Államok
Opel;Germany;Németország
Orion;Canada;Kanada
Pagani;Italy;Olaszország
Perodua;Malaysia;Malaysia
Peugeot;France;Franciaország
Plymouth;United States;Egyesült Államok
Pontiac;United States;Egyesült Államok
Porsche;Germany;Németország
Proton;Malaysia;Malaysia
Ram;United States;Egyesült Államok
Renault;France;Franciaország
Rolls-Royce;United Kingdom;Egyesült Királyság
Saab;Sweden;Svédország
Saleen;United States;Egyesült Államok
Saturn;United States;Egyesült Államok
Scania;Sweden;Svédország
Scion;United States;Egyesült Államok
SEAT;Spain;Spanyolország
Setra;Germany;Németország
Skoda;Czech Replublic;Csehország
Smart;Germany;Németország
SsangYong;South Korea;Dél-Korea
Subaru;Japan;Japán
Suzuki;Japan;Japán
Tata;India;India
Tesla;United States;Egyesült Államok
Toyota;Japan;Japán
Triumph;United Kingdom;Egyesült Királyság
TVR;United Kingdom;Egyesült Királyság
Vauxhall;United Kingdom;Egyesült Királyság
Volkswagen;Germany;Németország
Volvo;Sweden;Svédország
Wuling;China;Kína
Zhongxing;China;Kína
