44;Grand Est;3873402;825831;21.32;3047571;78.68;55656;20290;2971625
75;Nouvelle-Aquitaine;4329942;846148;19.54;3483794;80.46;63983;30437;3389374
84;Auvergne et Rhône-Alpes;5416712;1119551;20.67;4297161;79.33;78647;30798;4187716
27;Bourgogne-Franche-Comté;2001656;412997;20.63;1588659;79.37;31180;12573;1544906
53;Bretagne;2453683;405071;16.51;2048612;83.49;34417;13865;2000330
24;Centre-Val de Loire;1827657;360765;19.74;1466892;80.26;27910;11368;1427614
11;Île-de-France;7199231;1447722;20.nov;5751509;79.89;87595;32458;5631456
76;Occitanie;4194294;794467;18.94;3399827;jún.81;56860;27267;3315700
32;Hauts-de-France;4241887;925193;21.81;3316694;78.19;58622;25548;3232524
28;Normandie;2398182;458364;19.nov;1939818;80.89;35209;13181;1891428
52;Pays de la Loire;2705170;452471;16.73;2252699;83.27;44175;16603;2191921
93;Provence-Alpes-Côte d'Azur;3567740;756902;21.22;2810838;78.78;44480;15421;2750937
94;Corse;233656;74665;31.96;158991;ápr.68;2874;1741;154376
1;Guadeloupe;316345;189694;59.96;126651;ápr.40;5630;8779;112242
2;Martinique;310812;186855;dec.60;123957;39.88;8152;6541;109264
3;Guyane;92935;61010;65.65;31925;34.35;3831;1255;26839
4;La Réunion;639481;264229;41.32;375252;58.68;11468;13304;350480
6;Mayotte;83047;46860;56.43;36187;43.57;925;2132;33130
