Sorszám;Év;Város;Ország
I;1924; Chamonix;Franciaország
II;1928; St. Moritz;Svájc
III;1932; Lake Placid;USA
IV;1936; Garmisch-Partenkirchen;Németország
V;1948; St. Moritz;Svájc
VI;1952; Oslo;Norvégia
VII;1956; Cortina d'Ampezzo;Olaszország
VIII;1960; Squaw Valley;USA
IX;1964; Innsbruck;Ausztria
X;1968; Grenoble;Franciaország
XI;1972; Sapporo;Japán
XII;1976; Innsbruck;Ausztria
XIII;1980; Lake Placid;USA
XIV;1984; Sarajevo;Jugoszlávia
XV;1988; Calgary;Kanada
XVI;1992; Albertville;Franciaország
XVII;1994; Lillehammer;Norvégia
XVIII;1998; Nagano;Japán
XIX;2002; Salt Lake City;USA
XX;2006; Turin;Olaszország
XXI;2010; Vancouver;Kanada
XXII;2014; Sochi;Oroszország
XXIII;2018; Pyeongchang;Dél-Korea
