Versenyszám azonosító;Versenyszám név;Sportág azonosító
1;alpesi összetett;4
2;csapat;4
3;csapat;6
4;egyéni;8
5;északi összetett;10
6;félcső;5
7;jégtánc;8
8;kettes;2
9;kombináció;4
10;lesiklás;4
11;műlesiklás;4
12;négyes;2
13;női egyéni;8
14;óriás-műlesiklás;4
15;páros;8
16;sífutás, sprint;10
17;sífutás, 10km;10
18;síugrás, középsánc;10
19;síugrás középsánc;10
20;síugrás nagysánc;10
21;sprint;3
22;szuper kombináció;4
23;szuper óriás-műlesiklás;4
24;Szuper-G;4
25;szuperkombináció;4
26;10km;10
27;10km;7
28;10km klasszikus;10
29;10km sífutás;10
30;10km sífutás (klasszikus stílus);10
31;10km sífutás (üldöző, szabad stílus);10
32;10km sprint;7
33;10km szabadstílus;10
34;1000m;9
35;1000m;1
36;10000m;1
37;1.5km;10
38;15km;7
39;15km;3
40;1.5km sífutás;10
41;15km sífutás;10
42;15km sífutás (klasszikus stílus);10
43;15km szabad stílus;10
44;1.5km szabadstílus;10
45;15km (üldöző szabas stílus);10
46;1500m;1
47;1500m;9
48;15+15km;10
49;18km sífutás;10
50;18km sífutás, északi összetett;10
51;20km;7
52;3x5km sífutóváltó;10
53;3x7.5km váltó;7
54;30km sífutás;10
55;30km sífutás (klasszikus stílus);10
56;3000m;1
57;3000m váltó;9
58;4x7.5km váltó;7
59;5km sífutás;10
60;5km sífutás (klasszikus stílus);10
61;50km sífutás;10
62;50km sífutás (szabad stílus);10
63;500m;1
64;500m;9
65;5000m;1
66;5000m váltó;9
67;7.4km;7
68;7.5km;7
69;7.5km sprint;7
