Év;Város;Ország;Nemzetek száma;Versenyzők száma;Férfiak száma;Nők száma;Magyar verseznyzők száma;Versenyszámok száma;Sportágak száma
1924;Chamonix;Franciaország;16;258;247;11;4;16;9
1928;St. Moritz;Svájc;25;464;438;26;12;14;8
1932;Lake Placid;Egyesült Államok;17;252;231;21;4;14;7
1936;Garmisch-Partenkirchen;Németország;28;646;566;80;25;17;8
1948;St. Moritz;Svájc;28;669;592;77;22;22;9
1952;Oslo;Norvégia;30;694;585;109;12;22;8
1956;Cortina d’Ampezzo;Olaszország;32;821;687;134;2;24;8
1960;Squaw Valley;Egyesült Államok;30;665;521;144;3;27;8
1964;Innsbruck;Ausztria;36;1091;892;199;28;34;10
1968;Grenoble;Franciaország;37;1158;947;211;10;35;10
1972;Szapporo;Japán;35;1006;801;205;1;35;10
1976;Innsbruck;Ausztria;37;1123;892;231;3;37;10
1980;Lake Placid;Egyesült Államok;37;1072;840;232;2;38;10
1984;Szarajevó;Jugoszlávia;49;1272;998;274;9;39;10
1988;Calgary;Kanada;57;1423;1122;301;5;46;10
1992;Albertville;Franciaország;64;1801;1313;488;24;57;12
1994;Lillehammer;Norvégia;67;1737;1215;522;16;61;12
1998;Nagano;Japán;72;2176;1389;787;17;68;14
2002;Salt Lake City;Egyesült Államok;77;2399;1513;886;25;78;15
2006;Torino;Olaszország;80;2508;1548;960;19;84;15
2010;Vancouver;Kanada;82;2566;1522;1044;16;86;15
2014;Szocsi;Oroszország;88;2780;1714;1159;16;98;15
2018;Phjongcshang;Dél-Korea;92;2833;1680;1242;19;102;15
