helyezes;orszag;arany;ezust;bronz;osszesen
1;Amerikai Egyesült Államok;263;203;148;614
2;Kína;146;108;72;326
3;Oroszország;118;100;89;307
4;Ausztrália;90;97;75;262
5;NDK;51;44;27;122
6;Németország;43;64;76;183
7;Magyarország;38;29;30;97
8;Olaszország;37;38;58;133
9;Franciaország;26;26;27;79
10;Egyesült Királyság;29;24;45;98
11;Kanada;23;45;54;122
12;Hollandia;17;35;29;81
13;Svédország;15;19;16;50
14;Brazília;15;14;15;44
15;Dél-afrikai Köztársaság;13;6;15;34
16;Japán;12;38;70;120
17;Ukrajna;10;11;25;46
18;Spanyolország;9;35;26;70
19;Lengyelország;6;9;8;23
20;Szerbia;5;3;3;11
21;Dánia;4;8;8;20
22;Görögország;4;5;5;14
23;Zimbabwe;4;5;0;9
24;Finnország;3;2;2;7
25;Horvátország;2;3;4;9
26;Tunézia;2;2;4;8
27;Románia;2;1;7;10
28;Fehéroroszország;2;1;3;6
28;Jugoszlávia;2;1;3;6
30;Dél-Korea;2;0;2;4
31;Mexikó;1;8;13;22
32;Svájc;1;5;1;7
33;Litvánia;1;2;2;5
34;Norvégia;1;2;1;4
35;Bulgária;1;1;4;6
35;Malajzia;1;1;4;6
37;Belgium;1;1;2;4
37;Costa Rica;1;1;2;4
37;Észak-Korea;1;1;2;4
40;Kolumbia;1;0;0;1
40;Suriname;1;0;0;1
42;Új-Zéland;0;5;6;11
43;Csehország;0;4;1;5
44;Ausztria;0;3;3;6
45;Szlovákia;0;3;2;5
46;Izland;0;1;1;2
46;Jamaica;0;1;1;2
46;Kuba;0;1;1;2
49;Ecuador;0;1;0;1
49;Montenegró;0;1;0;1
51;Egyiptom;0;0;3;3
52;Argentína;0;0;2;2
52;Szingapúr;0;0;2;2
54;Puerto Rico;0;0;1;1
54;Trinidad és Tobago;0;0;1;1
54;Venezuela;0;0;1;1
